Generation 0 - Individual Bot Performance
==================================================
Format: BotID | Profit% | WinRate | Trades | FinalBalance | Fitness | Sharpe | MaxDD | SurvivedGens
   228 |  -80.52% |  58.25% |    800 | $     19.48 | -107.27 |  -0.93 | 86.72% |   0
   229 | -100.00% |  17.42% |   5275 | $      0.00 | -163.49 |  -0.75 | 132.90% |   0
   230 |   +1.41% |  57.14% |      7 | $    101.41 | 9997.80 |   0.28 |  0.07% |   0
   231 |  -45.36% |  20.55% |   8345 | $     54.64 |  -71.19 |  -0.89 | 50.89% |   0
   232 |   +0.60% |  44.44% |     54 | $    100.60 |   26.87 |   0.12 |  2.06% |   0
   233 |   -6.71% |  44.30% |    237 | $     93.29 |    8.73 |  -0.08 | 87.51% |   0
   234 |  -16.13% |  24.73% |   3276 | $     83.87 |  -33.40 |  -0.28 | 57.59% |   0
   235 |  +19.03% |  52.38% |     21 | $    119.03 |  -10.33 |   0.19 | 100.07% |   0
   236 |   -6.56% |  13.06% |   4274 | $     93.44 |   48.78 |  -0.72 |  9.08% |   0
   237 |  -56.21% |  23.18% |  23079 | $     43.79 |  -83.33 |  -0.98 | 57.52% |   0
   238 |   -7.58% |   6.06% |     33 | $     92.42 | 9974.84 |  -1.00 |  7.58% |   0
   239 |  -60.38% |  18.16% |   8281 | $     39.62 |  -73.54 |  -0.74 | 81.15% |   0
   240 |   +3.51% |  50.00% |     12 | $    103.51 | 9997.19 |   0.70 |  2.62% |   0
   241 |  -97.31% |  14.71% |   4529 | $      2.69 | -162.28 |  -0.73 | 133.59% |   0
   242 |  -18.86% |  61.17% |   2055 | $     81.14 |  -24.72 |  -0.72 | 26.18% |   0
   243 |   -5.77% |  26.48% |   1299 | $     94.23 |  -26.92 |  -0.08 | 74.08% |   0
   244 |   -8.99% |  28.55% |    858 | $     91.01 |   -7.28 |  -0.51 | 17.61% |   0
   245 |   -3.06% |  50.00% |      6 | $     96.94 |    1.29 |  -0.61 |  1.31% |   0
   246 | -100.00% |  56.88% |   1294 | $      0.00 | -180.58 |  -0.57 | 175.99% |   0
   247 |   -5.52% |  32.41% |   1441 | $     94.48 |   11.13 |  -0.64 |  8.68% |   0
   248 |  -22.57% |  20.61% |   2023 | $     77.43 |  -23.37 |  -0.61 | 36.96% |   0
   249 |  -90.02% |  18.47% |  16247 | $      9.98 | -124.33 |  -1.00 | 90.04% |   0
   250 |  -60.81% |  21.80% |   4059 | $     39.19 |  -46.83 |  -0.58 | 104.93% |   0
   251 | -100.00% |  25.98% |   4180 | $      0.00 | -179.73 |  -0.63 | 159.86% |   0
   252 |   +0.72% |  85.71% |      7 | $    100.72 | 10002.55 |   0.14 |  0.63% |   0
   253 |   -4.95% |  40.00% |     10 | $     95.05 |   -2.99 |  -0.74 |  6.70% |   0
   254 |   +3.69% |  33.33% |     18 | $    103.69 | 9994.03 |   0.74 |  2.65% |   0
   255 |  -90.22% |  25.70% |   5246 | $      9.78 | -125.19 |  -1.00 | 90.22% |   0
   256 |   -0.92% |  10.00% |     10 | $     99.08 | 9985.61 |  -0.18 |  0.95% |   0
   257 |   -5.05% |  25.00% |      4 | $     94.95 |   -9.04 |  -0.63 |  7.97% |   0
   258 |   -8.02% |  23.04% |   2986 | $     91.98 |   -8.70 |  -0.20 | 39.19% |   0
   259 |  -90.03% |  21.94% |   6881 | $      9.97 | 1609.69 |  -1.00 | 90.23% |   0
   260 |   -4.76% |  25.00% |      4 | $     95.24 |   -5.51 |  -0.95 |  1.49% |   0
   261 |  -32.57% |  20.61% |   2329 | $     67.43 |  -96.67 |  -0.23 | 140.10% |   0
   262 |   +0.00% | 100.00% |      1 | $    100.00 | 10004.96 |   0.00 |  0.07% |   0
   263 |   -1.40% |  33.33% |     12 | $     98.60 | 9987.71 |  -0.28 |  5.10% |   0
   264 | -100.00% |  38.42% |   2673 | $      0.00 | -153.47 |  -0.80 | 125.56% |   0
   265 |   -4.12% |  23.25% |   2189 | $     95.88 |    2.09 |  -0.10 | 40.25% |   0
